fcvis,fcsom,fcda,fcva,fclim,fcfpn,fcdmn,fcsc,scvis,scsom,scda,scva,sclim,scfpn,scdmn,scsc,fctotal,sctotal
0.12,0.12,0.08,0,0.04,0.08,0.12,0,0.48,0.08,0,0.04,0.16,0.12,0.08,0,0.12,0.48
0.04,0,0.08,0,0.12,0.04,0,0,0.28,0.36,0.08,0,0.08,0.16,0.04,0.04,0.04,0.28
0.16,0.12,0,0.08,0.16,0.08,0.04,0,0.4,0.32,0.04,0.04,0.16,0.04,0.08,0.16,0.16,0.4
0.08,0.16,0,0.04,0.12,0,0,0,0.48,0.28,0,0.16,0.08,0,0.12,0.16,0.08,0.48
0.28,0.2,0.12,0,0.08,0.04,0,0,0.44,0.28,0.2,0.08,0.04,0.04,0.16,0,0.28,0.44
0.04,0.04,0.12,0.08,0.08,0.08,0.12,0,0.24,0.16,0.12,0.04,0.08,0.08,0.08,0.08,0.04,0.24
0.12,0.2,0.04,0,0.04,0.04,0.16,0,0.12,0.24,0.36,0.04,0.12,0,0.08,0,0.12,0.12
0.16,0.08,0.08,0.04,0,0.04,0,0,0.4,0.16,0.12,0.08,0.04,0.12,0.04,0.36,0.16,0.4
0.04,0.16,0,0.08,0.08,0.04,0.16,0.08,0.4,0.32,0.24,0.16,0,0.04,0.04,0.28,0.04,0.4
0.08,0.16,0.12,0.04,0.16,0.16,0.04,0.04,0.44,0.16,0.08,0,0,0.04,0.12,0.04,0.08,0.44
0.12,0.2,0.16,0.04,0.16,0.12,0.04,0,0.44,0.32,0.12,0.08,0,0,0.16,0,0.12,0.44
0.08,0.12,0,0.08,0.04,0.12,0.16,0.04,0.52,0.16,0.16,0,0,0.04,0.04,0,0.08,0.52
0.12,0.16,0.08,0,0.16,0.08,0.08,0,0.32,0.32,0.08,0,0,0,0.08,0.08,0.12,0.32
0.16,0.12,0.04,0.04,,0.08,0.04,0.12,0.28,0.12,0.04,0.08,,0.04,0.04,0.04,0.16,0.28
0.16,0.08,0.12,0.08,,0.04,0.16,0.16,0.36,0.16,0.16,0.08,,0.04,0.08,0.08,0.16,0.36
0.08,0.04,0.16,0.04,,0.04,0.12,0.04,0.24,0.24,0.16,0,,0,0.12,0.2,0.08,0.24
0.08,0.12,0.04,0.04,,0.16,0.08,0.04,0.08,0.36,0.08,0.08,,0,0.04,0.36,0.08,0.08
0.24,0.12,0.04,0.08,,0.12,0.04,0.2,0.36,0.28,0.04,0.04,,0.04,0.04,0.16,0.24,0.36
0.08,0.12,0.04,0,,0.08,0,,0.36,0.2,0.08,0.08,,0,0.08,,0.08,0.36
0.16,0.12,0.04,0,,0.08,0.08,,0.12,0.24,0,0.08,,0.12,0.08,,0.16,0.12
0.16,0.04,0.24,0.04,,0.16,0.16,,0.44,0.24,0.08,0,,0.04,0.08,,0.16,0.44
0.2,0.16,0.08,0,,0.08,0.12,,0.36,0.32,0.16,0,,0.04,0.04,,0.2,0.36
0.04,0.08,0.08,0,,0.12,0.04,,0.24,0.36,0,0.04,,0.04,0.12,,0.04,0.24
0.04,0,,0.08,,0,0.12,,0.24,0.24,,0.08,,0.16,0.12,,0.04,0.24
0.12,0.12,,0,,0.04,0.16,,0.48,0.32,,0.08,,0.04,0,,0.12,0.48
0.08,0.08,,,,0,0.24,,0.12,0.36,,,,0.08,0.2,,0.08,0.12
0,0.12,,,,0.12,0,,0.08,0.4,,,,0.12,0.2,,0,0.08
0.04,0,,,,0,0.08,,0.16,0.28,,,,0,0.04,,0.04,0.16
0.04,0.12,,,,0.08,0.12,,0.2,0.48,,,,0.12,0.04,,0.04,0.2
0.04,0.04,,,,0.16,0.08,,0.24,0.44,,,,0,0.2,,0.04,0.24
,0.2,,,,,0.04,,,0.48,,,,,0.04,,0.12,0.08
,0.16,,,,,0.08,,,0.56,,,,,0.24,,0,0.36
,0,,,,,0.08,,,0.28,,,,,0.12,,0.12,0.32
,0.08,,,,,0,,,0.28,,,,,0.12,,0.16,0.28
,0.24,,,,,0,,,0.36,,,,,0.16,,0.2,0.28
,0.16,,,,,0.12,,,0.2,,,,,0.16,,0.04,0.16
,0.04,,,,,0.04,,,0.28,,,,,0.12,,0.2,0.24
,0.04,,,,,0.12,,,0.24,,,,,0.16,,0.08,0.16
,0.08,,,,,0.08,,,0.12,,,,,0.12,,0.16,0.32
,0.12,,,,,,,,0.16,,,,,,,0.16,0.16
,,,,,,,,,,,,,,,,0.2,0.32
,,,,,,,,,,,,,,,,0.12,0.16
,,,,,,,,,,,,,,,,0.16,0.32
,,,,,,,,,,,,,,,,0.12,0.12
,,,,,,,,,,,,,,,,0.08,0.16
,,,,,,,,,,,,,,,,0.04,0.24
,,,,,,,,,,,,,,,,0.12,0.36
,,,,,,,,,,,,,,,,0.12,0.28
,,,,,,,,,,,,,,,,0.12,0.2
,,,,,,,,,,,,,,,,0.12,0.24
,,,,,,,,,,,,,,,,0.04,0.24
,,,,,,,,,,,,,,,,0.16,0.32
,,,,,,,,,,,,,,,,0.08,0.36
,,,,,,,,,,,,,,,,0,0.24
,,,,,,,,,,,,,,,,0.12,0.32
,,,,,,,,,,,,,,,,0.08,0.36
,,,,,,,,,,,,,,,,0.12,0.4
,,,,,,,,,,,,,,,,0,0.28
,,,,,,,,,,,,,,,,0.12,0.48
,,,,,,,,,,,,,,,,0.04,0.44
,,,,,,,,,,,,,,,,0.2,0.48
,,,,,,,,,,,,,,,,0.16,0.56
,,,,,,,,,,,,,,,,0,0.28
,,,,,,,,,,,,,,,,0.08,0.28
,,,,,,,,,,,,,,,,0.24,0.36
,,,,,,,,,,,,,,,,0.16,0.2
,,,,,,,,,,,,,,,,0.04,0.28
,,,,,,,,,,,,,,,,0.04,0.24
,,,,,,,,,,,,,,,,0.08,0.12
,,,,,,,,,,,,,,,,0.12,0.16
,,,,,,,,,,,,,,,,0.08,0
,,,,,,,,,,,,,,,,0.08,0.08
,,,,,,,,,,,,,,,,0,0.04
,,,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,,,0.12,0.2
,,,,,,,,,,,,,,,,0.12,0.12
,,,,,,,,,,,,,,,,0.04,0.36
,,,,,,,,,,,,,,,,0.08,0.12
,,,,,,,,,,,,,,,,0,0.24
,,,,,,,,,,,,,,,,0.12,0.08
,,,,,,,,,,,,,,,,0.16,0.12
,,,,,,,,,,,,,,,,0,0.16
,,,,,,,,,,,,,,,,0.08,0.08
,,,,,,,,,,,,,,,,0.04,0.04
,,,,,,,,,,,,,,,,0.12,0.16
,,,,,,,,,,,,,,,,0.16,0.16
,,,,,,,,,,,,,,,,0.04,0.08
,,,,,,,,,,,,,,,,0.04,0.04
,,,,,,,,,,,,,,,,0.04,0.08
,,,,,,,,,,,,,,,,0.04,0
,,,,,,,,,,,,,,,,0.24,0.08
,,,,,,,,,,,,,,,,0.08,0.16
,,,,,,,,,,,,,,,,0.08,0
,,,,,,,,,,,,,,,,0,0.04
,,,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,,,0.08,0.04
,,,,,,,,,,,,,,,,0.04,0.16
,,,,,,,,,,,,,,,,0,0.08
,,,,,,,,,,,,,,,,0.08,0.04
,,,,,,,,,,,,,,,,0,0.04
,,,,,,,,,,,,,,,,0.04,0.08
,,,,,,,,,,,,,,,,0.08,0.16
,,,,,,,,,,,,,,,,0.04,0
,,,,,,,,,,,,,,,,0.04,0.08
,,,,,,,,,,,,,,,,0.08,0
,,,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,,,0.04,0.08
,,,,,,,,,,,,,,,,0.08,0.08
,,,,,,,,,,,,,,,,0.04,0
,,,,,,,,,,,,,,,,0.04,0.08
,,,,,,,,,,,,,,,,0.08,0.04
,,,,,,,,,,,,,,,,0,0.08
,,,,,,,,,,,,,,,,0,0.08
,,,,,,,,,,,,,,,,0.04,0
,,,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,,,0,0.04
,,,,,,,,,,,,,,,,0.08,0.08
,,,,,,,,,,,,,,,,0,0.08
,,,,,,,,,,,,,,,,0.04,0.16
,,,,,,,,,,,,,,,,0.12,0.08
,,,,,,,,,,,,,,,,0.16,0.16
,,,,,,,,,,,,,,,,0.12,0.08
,,,,,,,,,,,,,,,,0.08,0.04
,,,,,,,,,,,,,,,,0.08,0.08
,,,,,,,,,,,,,,,,0.04,0.12
,,,,,,,,,,,,,,,,0,0.04
,,,,,,,,,,,,,,,,0.08,0
,,,,,,,,,,,,,,,,0.16,0
,,,,,,,,,,,,,,,,0.16,0
,,,,,,,,,,,,,,,,0.04,0
,,,,,,,,,,,,,,,,0.16,0
,,,,,,,,,,,,,,,,0.08,0.12
,,,,,,,,,,,,,,,,0.04,0.16
,,,,,,,,,,,,,,,,0.08,0.04
,,,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,,,0.04,0.04
,,,,,,,,,,,,,,,,0.08,0.08
,,,,,,,,,,,,,,,,0.04,0
,,,,,,,,,,,,,,,,0.04,0.12
,,,,,,,,,,,,,,,,0.04,0.04
,,,,,,,,,,,,,,,,0.16,0.04
,,,,,,,,,,,,,,,,0.12,0
,,,,,,,,,,,,,,,,0.12,0.04
,,,,,,,,,,,,,,,,0.08,0
,,,,,,,,,,,,,,,,0.08,0.04
,,,,,,,,,,,,,,,,0.04,0.04
,,,,,,,,,,,,,,,,0.04,0
,,,,,,,,,,,,,,,,0.16,0
,,,,,,,,,,,,,,,,0.12,0.04
,,,,,,,,,,,,,,,,0.08,0
,,,,,,,,,,,,,,,,0.08,0.12
,,,,,,,,,,,,,,,,0.16,0.04
,,,,,,,,,,,,,,,,0.08,0.04
,,,,,,,,,,,,,,,,0.12,0.04
,,,,,,,,,,,,,,,,0,0.16
,,,,,,,,,,,,,,,,0.04,0.04
,,,,,,,,,,,,,,,,0,0.08
,,,,,,,,,,,,,,,,0.12,0.12
,,,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,,,0.08,0.12
,,,,,,,,,,,,,,,,0.16,0
,,,,,,,,,,,,,,,,0.12,0.08
,,,,,,,,,,,,,,,,0,0.04
,,,,,,,,,,,,,,,,0.04,0.08
,,,,,,,,,,,,,,,,0,0.12
,,,,,,,,,,,,,,,,0,0.16
,,,,,,,,,,,,,,,,0.12,0.08
,,,,,,,,,,,,,,,,0.16,0.08
,,,,,,,,,,,,,,,,0,0.04
,,,,,,,,,,,,,,,,0.16,0.04
,,,,,,,,,,,,,,,,0.04,0.12
,,,,,,,,,,,,,,,,0.04,0.16
,,,,,,,,,,,,,,,,0.16,0.04
,,,,,,,,,,,,,,,,0.08,0.08
,,,,,,,,,,,,,,,,0.04,0.04
,,,,,,,,,,,,,,,,0.16,0.08
,,,,,,,,,,,,,,,,0.12,0.12
,,,,,,,,,,,,,,,,0.08,0.04
,,,,,,,,,,,,,,,,0.04,0.04
,,,,,,,,,,,,,,,,0,0.08
,,,,,,,,,,,,,,,,0.08,0.08
,,,,,,,,,,,,,,,,0.16,0.08
,,,,,,,,,,,,,,,,0.12,0.04
,,,,,,,,,,,,,,,,0.04,0.12
,,,,,,,,,,,,,,,,0.12,0.12
,,,,,,,,,,,,,,,,0.16,0
,,,,,,,,,,,,,,,,0.24,0.2
,,,,,,,,,,,,,,,,0,0.2
,,,,,,,,,,,,,,,,0.08,0.04
,,,,,,,,,,,,,,,,0.12,0.04
,,,,,,,,,,,,,,,,0.08,0.2
,,,,,,,,,,,,,,,,0.04,0.04
,,,,,,,,,,,,,,,,0.08,0.24
,,,,,,,,,,,,,,,,0.08,0.12
,,,,,,,,,,,,,,,,0,0.12
,,,,,,,,,,,,,,,,0,0.16
,,,,,,,,,,,,,,,,0.12,0.16
,,,,,,,,,,,,,,,,0.04,0.12
,,,,,,,,,,,,,,,,0.12,0.16
,,,,,,,,,,,,,,,,0.08,0.12
,,,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,,,0,0.04
,,,,,,,,,,,,,,,,0,0.16
,,,,,,,,,,,,,,,,0,0.16
,,,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,,,0,0.08
,,,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,,,0,0.36
,,,,,,,,,,,,,,,,0.08,0.28
,,,,,,,,,,,,,,,,0.04,0.04
,,,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,,,0.04,0
,,,,,,,,,,,,,,,,0,0.08
,,,,,,,,,,,,,,,,0.12,0.04
,,,,,,,,,,,,,,,,0.16,0.08
,,,,,,,,,,,,,,,,0.04,0.2
,,,,,,,,,,,,,,,,0.04,0.36
,,,,,,,,,,,,,,,,0.2,0.16
,,,,,,,,,,,,,,,,0.2,0.4
,,,,,,,,,,,,,,,,0.04,0.2
,,,,,,,,,,,,,,,,0.16,0.32
,,,,,,,,,,,,,,,,0.2,0.32
,,,,,,,,,,,,,,,,0.12,0.36
,,,,,,,,,,,,,,,,0.12,0.2
,,,,,,,,,,,,,,,,0.16,0.08
,,,,,,,,,,,,,,,,0.08,0.32
,,,,,,,,,,,,,,,,0.2,0.28
,,,,,,,,,,,,,,,,0.08,0.68
,,,,,,,,,,,,,,,,0.12,0.44
,,,,,,,,,,,,,,,,0.12,0.32
,,,,,,,,,,,,,,,,0.28,0.36
,,,,,,,,,,,,,,,,0.04,0.32
,,,,,,,,,,,,,,,,0.16,0.56
,,,,,,,,,,,,,,,,0.04,0.2
,,,,,,,,,,,,,,,,0.16,0.08
,,,,,,,,,,,,,,,,0.2,0.52
,,,,,,,,,,,,,,,,0.24,0.4
,,,,,,,,,,,,,,,,0.04,0.4
,,,,,,,,,,,,,,,,0,0.56
,,,,,,,,,,,,,,,,0.08,0.24
,,,,,,,,,,,,,,,,0.12,0.08
,,,,,,,,,,,,,,,,0.08,0.2
,,,,,,,,,,,,,,,,0.08,0.16
,,,,,,,,,,,,,,,,0.04,0.16
,,,,,,,,,,,,,,,,0.04,0.28
,,,,,,,,,,,,,,,,0.04,0.2
,,,,,,,,,,,,,,,,0,0.24
,,,,,,,,,,,,,,,,0.04,0.12
,,,,,,,,,,,,,,,,0,0.08
,,,,,,,,,,,,,,,,0.12,0.28
,,,,,,,,,,,,,,,,0.08,0.2
,,,,,,,,,,,,,,,,0.2,0.2
,,,,,,,,,,,,,,,,0.08,0.32
,,,,,,,,,,,,,,,,0.16,0.16
,,,,,,,,,,,,,,,,0.04,0.24
,,,,,,,,,,,,,,,,0.08,0.12
,,,,,,,,,,,,,,,,0.04,0.44
,,,,,,,,,,,,,,,,0.08,0.16
,,,,,,,,,,,,,,,,0.12,0.32
,,,,,,,,,,,,,,,,0.04,0.2
,,,,,,,,,,,,,,,,0.04,0.16
,,,,,,,,,,,,,,,,0.04,0.24
,,,,,,,,,,,,,,,,0.04,0.08
,,,,,,,,,,,,,,,,0.12,0.28
,,,,,,,,,,,,,,,,0.08,0.24
,,,,,,,,,,,,,,,,0,0.2
,,,,,,,,,,,,,,,,0.08,0.12
,,,,,,,,,,,,,,,,0.12,0.32
,,,,,,,,,,,,,,,,0.12,0.36
,,,,,,,,,,,,,,,,0.08,0.24
,,,,,,,,,,,,,,,,0.12,0.4
,,,,,,,,,,,,,,,,0.04,0.16
,,,,,,,,,,,,,,,,0.04,0.36
,,,,,,,,,,,,,,,,0.16,0.28
,,,,,,,,,,,,,,,,0.16,0.28
,,,,,,,,,,,,,,,,0.04,0.12
,,,,,,,,,,,,,,,,0.2,0.52
,,,,,,,,,,,,,,,,0.04,0.4
,,,,,,,,,,,,,,,,0.08,0.36
,,,,,,,,,,,,,,,,0.28,0.28
,,,,,,,,,,,,,,,,0.08,0.24
,,,,,,,,,,,,,,,,0.12,0.36
,,,,,,,,,,,,,,,,0.08,0.32
,,,,,,,,,,,,,,,,0.08,0.24
,,,,,,,,,,,,,,,,0.08,0.12
,,,,,,,,,,,,,,,,0.12,0.28
,,,,,,,,,,,,,,,,0,0.08
,,,,,,,,,,,,,,,,0.04,0.2
,,,,,,,,,,,,,,,,0,0.04
,,,,,,,,,,,,,,,,0,0.04
,,,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,,,0,0.04
,,,,,,,,,,,,,,,,0.04,0.28
,,,,,,,,,,,,,,,,0.12,0.04
,,,,,,,,,,,,,,,,0.08,0.28
,,,,,,,,,,,,,,,,0.24,0.16
,,,,,,,,,,,,,,,,0.08,0.24
,,,,,,,,,,,,,,,,0.12,0.12
,,,,,,,,,,,,,,,,0.08,0.16
,,,,,,,,,,,,,,,,0.12,0.16
,,,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,,,0.16,0.08
,,,,,,,,,,,,,,,,0.04,0.04
,,,,,,,,,,,,,,,,0.08,0.12
,,,,,,,,,,,,,,,,0.04,0.08
,,,,,,,,,,,,,,,,0.08,0.04
,,,,,,,,,,,,,,,,0.08,0.08
,,,,,,,,,,,,,,,,0,0.04
,,,,,,,,,,,,,,,,0.04,0
,,,,,,,,,,,,,,,,0,0.16
,,,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,,,0.12,0.04
,,,,,,,,,,,,,,,,0.08,0.04
,,,,,,,,,,,,,,,,0.12,0
,,,,,,,,,,,,,,,,0.16,0.08
,,,,,,,,,,,,,,,,0,0.08
,,,,,,,,,,,,,,,,0,0.04
,,,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,,,0.12,0.12
,,,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,,,0,0.04
,,,,,,,,,,,,,,,,0,0.12
,,,,,,,,,,,,,,,,0.04,0
,,,,,,,,,,,,,,,,0.04,0
,,,,,,,,,,,,,,,,0.08,0
,,,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,,,0,0.04
,,,,,,,,,,,,,,,,0,0.08
,,,,,,,,,,,,,,,,0.04,0.16
,,,,,,,,,,,,,,,,0.12,0.04
,,,,,,,,,,,,,,,,0,0.04
,,,,,,,,,,,,,,,,0,0.08
,,,,,,,,,,,,,,,,0,0.08
,,,,,,,,,,,,,,,,0.08,0.04
,,,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,,,0,0.04
,,,,,,,,,,,,,,,,0,0.04
,,,,,,,,,,,,,,,,0.16,0.04
,,,,,,,,,,,,,,,,0.04,0.04
,,,,,,,,,,,,,,,,0.04,0.08
,,,,,,,,,,,,,,,,0.04,0
,,,,,,,,,,,,,,,,0,0.04
,,,,,,,,,,,,,,,,0,0.04
,,,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,,,0.08,0
,,,,,,,,,,,,,,,,0,0.12
,,,,,,,,,,,,,,,,0,0.08
,,,,,,,,,,,,,,,,0.04,0.16
,,,,,,,,,,,,,,,,0.16,0.12
,,,,,,,,,,,,,,,,0.12,0
,,,,,,,,,,,,,,,,0.12,0
,,,,,,,,,,,,,,,,0.08,0.08
,,,,,,,,,,,,,,,,0.08,0.08
,,,,,,,,,,,,,,,,0.08,0.04
,,,,,,,,,,,,,,,,0.04,0.16
,,,,,,,,,,,,,,,,0.12,0
,,,,,,,,,,,,,,,,0,0.04
,,,,,,,,,,,,,,,,0.16,0.04
,,,,,,,,,,,,,,,,0.04,0.08
,,,,,,,,,,,,,,,,0,0.04
,,,,,,,,,,,,,,,,0,0.04
,,,,,,,,,,,,,,,,0,0.08
,,,,,,,,,,,,,,,,0.04,0.04
,,,,,,,,,,,,,,,,0.12,0.04
,,,,,,,,,,,,,,,,0.08,0.28
,,,,,,,,,,,,,,,,0.04,0.2
,,,,,,,,,,,,,,,,0.12,0.16
,,,,,,,,,,,,,,,,0.04,0.2
,,,,,,,,,,,,,,,,0,0.12
,,,,,,,,,,,,,,,,0.12,0.04
,,,,,,,,,,,,,,,,0.04,0.08
,,,,,,,,,,,,,,,,0.08,0.12
,,,,,,,,,,,,,,,,0.08,0.08
,,,,,,,,,,,,,,,,0.12,0
,,,,,,,,,,,,,,,,0,0.12
,,,,,,,,,,,,,,,,0,0.04
,,,,,,,,,,,,,,,,0.04,0.12
,,,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,,,0,0.08
,,,,,,,,,,,,,,,,0.24,0.08
,,,,,,,,,,,,,,,,0.16,0.08
,,,,,,,,,,,,,,,,0.12,0
,,,,,,,,,,,,,,,,0.04,0.04
,,,,,,,,,,,,,,,,0.04,0.08
,,,,,,,,,,,,,,,,0.16,0.08
,,,,,,,,,,,,,,,,0.12,0.04
,,,,,,,,,,,,,,,,0.16,0.16
,,,,,,,,,,,,,,,,0.12,0.08
,,,,,,,,,,,,,,,,0.16,0.04
,,,,,,,,,,,,,,,,0.12,0.04
,,,,,,,,,,,,,,,,0.16,0.12
,,,,,,,,,,,,,,,,0.04,0.08
,,,,,,,,,,,,,,,,0.12,0.12
,,,,,,,,,,,,,,,,0.08,0.08
,,,,,,,,,,,,,,,,0.12,0.28
,,,,,,,,,,,,,,,,0.08,0.16
,,,,,,,,,,,,,,,,0.08,0
,,,,,,,,,,,,,,,,0.12,0.12
,,,,,,,,,,,,,,,,0,0.2
,,,,,,,,,,,,,,,,0.16,0.04
,,,,,,,,,,,,,,,,0.2,0.16
,,,,,,,,,,,,,,,,0.12,0.16
,,,,,,,,,,,,,,,,0,0.16
,,,,,,,,,,,,,,,,0,0.04
,,,,,,,,,,,,,,,,0.04,0.2
,,,,,,,,,,,,,,,,0,0.16
,,,,,,,,,,,,,,,,0.16,0.12
,,,,,,,,,,,,,,,,0,0.2
,,,,,,,,,,,,,,,,0.04,0.16
,,,,,,,,,,,,,,,,0.08,0.28
,,,,,,,,,,,,,,,,0,0.12
,,,,,,,,,,,,,,,,0,0.16
,,,,,,,,,,,,,,,,0,0.04
,,,,,,,,,,,,,,,,0.04,0.08
,,,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,,,0,0.04
,,,,,,,,,,,,,,,,0,0.04
,,,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,,,0,0.04
,,,,,,,,,,,,,,,,0,0.04
,,,,,,,,,,,,,,,,0,0.36
,,,,,,,,,,,,,,,,0,0.24
,,,,,,,,,,,,,,,,0,0.08
,,,,,,,,,,,,,,,,0,0.04
,,,,,,,,,,,,,,,,0,0.08
,,,,,,,,,,,,,,,,0,0.24
,,,,,,,,,,,,,,,,0,0.04
,,,,,,,,,,,,,,,,0,0.04
,,,,,,,,,,,,,,,,0,0.2
,,,,,,,,,,,,,,,,0,0.08
,,,,,,,,,,,,,,,,0,0.24